Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2002-2005,10,Coarse sample complexity bounds for active learning,Sufficient Conditions for Agnostic Active Learnable,1.756,1.756,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Multi-View Active Learning in the Non-Realizable Case,0.0,0.0,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Agnostic Active Learning Without Constraints,0.0,16.4,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Near-Optimal Bayesian Active Learning with Noisy Observations,0.0,9.8,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,0.0,0.9,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Active Learning with a Drifting Distribution,0.0,0.8,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,0.0,0.2,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Buy-in-Bulk Active Learning,0.0,0.6,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Statistical Active Learning Algorithms,0.0,26.9,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Beyond Disagreement-Based Agnostic Active Learning,0.0,0.0,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Convergence Rates of Active Learning for Maximum Likelihood Estimation,0.0,0.0,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Efficient and Parsimonious Agnostic Active Learning,0.0,0.0,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Active Learning from Weak and Strong Labelers,0.156,0.156,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Active Learning from Imperfect Labelers,0.082,0.082,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,10,Coarse sample complexity bounds for active learning,Search Improves Label for Active Learning,0.068,0.068,2943,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,11,Coarse sample complexity bounds for active learning,Active learning for misspecified generalized linear models,0.097,0.097,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,A general agnostic active learning algorithm,0.087,0.087,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Nearest-Neighbor-Based Active Learning for Rare Category Detection,0.213,0.213,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Sufficient Conditions for Agnostic Active Learnable,0.322,0.322,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Multi-View Active Learning in the Non-Realizable Case,0.37,0.37,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Agnostic Active Learning Without Constraints,0.055,0.055,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Near-Optimal Bayesian Active Learning with Noisy Observations,41.696,41.696,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,1.482,1.482,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Active Learning with a Drifting Distribution,0.304,0.304,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,9.65,9.65,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Buy-in-Bulk Active Learning,0.309,0.309,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Statistical Active Learning Algorithms,0.251,0.251,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Beyond Disagreement-Based Agnostic Active Learning,33.605,33.605,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Convergence Rates of Active Learning for Maximum Likelihood Estimation,0.393,0.393,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Efficient and Parsimonious Agnostic Active Learning,46.692,46.692,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Active Learning from Weak and Strong Labelers,1.349,1.349,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Active Learning from Imperfect Labelers,76.108,76.108,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,11,Coarse sample complexity bounds for active learning,Search Improves Label for Active Learning,7.377,7.377,2943,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
1990-1993,12,Fast Non-Linear Dimension Reduction,Nonlinear Image Interpolation using Manifold Learning,3.212,3.212,825,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1993-1996,13,Fast Non-Linear Dimension Reduction,Nonlinear Image Interpolation using Manifold Learning,8.809,8.809,825,"[u'gaussian', u'neural', u'function', u'system', u'hme', u'data', u'linear', u'vqpca', u'pca', u'reduction']","[0, 1]",1
1987-1990,0,Winner-Take-All Networks of O(N) Complexity,A Neural Network Classifier for the I100 OCR Chip,0.465,0.465,151,"[u'circuit', u'winner', u'take', u'neuron', u'current', u'figure', u'input', u'response', u'output', u'lazzaro']",[6],9
2008-2011,1,The Maximal Causes of Natural Scenes are Edge Filters,Unsupervised learning models of primary cortical receptive fields and receptive field plasticity,0.356,0.356,4132,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
1993-1996,2,Factorial Hidden Markov Models,Bayesian Map Learning in Dynamic Environments,50.33,50.33,1144,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1993-1996,2,Factorial Hidden Markov Models,Context as Filtering,3.307,3.307,1144,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1993-1996,2,Factorial Hidden Markov Models,Nonparametric Bayesian Models for Unsupervised Event Coreference Resolution,6.064,6.064,1144,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1993-1996,2,Factorial Hidden Markov Models,Selective Prediction of Financial Trends with Hidden Markov Models,0.078,0.078,1144,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1993-1996,2,Factorial Hidden Markov Models,SDP Relaxation with Randomized Rounding for Energy Disaggregation,0.951,0.951,1144,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
2005-2008,3,Near-optimal Regret Bounds for Reinforcement Learning,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,0.225,0.225,3401,"[u'jigsaw', u'image', u'model', u'learning', u'images', u'data', u'layer', u'set', u'hidden', u'state']",[1],6
2008-2011,4,Near-optimal Regret Bounds for Reinforcement Learning,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,0.162,0.162,3401,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2005-2008,5,Using matrices to model symbolic relationship,"Interaction Networks for Learning about Objects, Relations and Physics",0.904,0.904,3482,"[u'objects', u'relations', u'concept', u'set', u'algorithm', u'sense', u'images', u'image', u'model', u'words']","[0, 9]",5
2008-2011,6,Using matrices to model symbolic relationship,"Interaction Networks for Learning about Objects, Relations and Physics",2.598,2.598,3482,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
1987-1990,7,Time Dependent Adaptive Neural Networks,Adjoint-Functions and Temporal Learning Algorithms in Neural Networks,0.78,0.78,212,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
1996-1999,8,Predictive Sequence Learning in Recurrent Neocortical Circuits,Citcuits for VLSI Implementation of Temporally Asymmetric Hebbian Learning,18.601,18.601,1783,"[u'neuron', u'neurons', u'learning', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[0],3
1999-2002,9,Predictive Sequence Learning in Recurrent Neocortical Circuits,Citcuits for VLSI Implementation of Temporally Asymmetric Hebbian Learning,3.32,3.32,1783,"[u'learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
2008-2011,10,Learning Bounds for Importance Weighting,Sample Complexity Bounds for Iterative Stochastic Policy Optimization,1.322,1.322,4156,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1996-1999,11,Model Selection for Support Vector Machines,Fast Graph Laplacian Regularized Kernel Learning via Semidefinite?Quadratic?Linear Programming,14.034,14.034,1663,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1999-2002,12,Model Selection for Support Vector Machines,Fast Graph Laplacian Regularized Kernel Learning via Semidefinite?Quadratic?Linear Programming,5.595,5.595,1663,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1996-1999,13,Recognizing Evoked Potentials in a Virtual Environment,Classifying Single Trial EEG: Towards Brain Computer Interfacing,6.818,6.818,1683,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1999-2002,0,Recognizing Evoked Potentials in a Virtual Environment,Classifying Single Trial EEG: Towards Brain Computer Interfacing,1.694,1.694,1683,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2011-2014,1,Accelerating Stochastic Gradient Descent using Predictive Variance Reduction,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,3.114,3.114,4937,"[u'matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
1993-1996,2,Computing with Infinite Networks,Mean Field Methods for Classification with Gaussian Processes,2.946,2.946,1197,"[u'gaussian', u'neural', u'function', u'system', u'hme', u'data', u'linear', u'vqpca', u'pca', u'reduction']","[0, 1]",1
1993-1996,2,Computing with Infinite Networks,General Bounds on Bayes Errors for Regression with Gaussian Processes,12.416,12.416,1197,"[u'gaussian', u'neural', u'function', u'system', u'hme', u'data', u'linear', u'vqpca', u'pca', u'reduction']","[0, 1]",1
1993-1996,2,Computing with Infinite Networks,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,2.052,2.052,1197,"[u'gaussian', u'neural', u'function', u'system', u'hme', u'data', u'linear', u'vqpca', u'pca', u'reduction']","[0, 1]",1
1993-1996,2,Computing with Infinite Networks,Computing with Finite and Infinite Networks,4.658,4.658,1197,"[u'gaussian', u'neural', u'function', u'system', u'hme', u'data', u'linear', u'vqpca', u'pca', u'reduction']","[0, 1]",1
1996-1999,3,Computing with Infinite Networks,Mean Field Methods for Classification with Gaussian Processes,15.824,15.824,1197,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1996-1999,3,Computing with Infinite Networks,General Bounds on Bayes Errors for Regression with Gaussian Processes,0.928,0.928,1197,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1996-1999,3,Computing with Infinite Networks,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,5.747,5.747,1197,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1996-1999,3,Computing with Infinite Networks,Computing with Finite and Infinite Networks,0.065,0.065,1197,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
2002-2005,4,Information Bottleneck for Gaussian Variables,Receptive Fields without Spike-Triggering,19.494,19.494,2457,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,5,Sparse Gaussian Processes using Pseudo-inputs,Understanding Probabilistic Sparse Gaussian Process Approximations,0.999,0.999,2857,"[u'model', u'data', u'latent', u'learning', u'models', u'linear', u'training', u'space', u'mixture', u'doublets']",[7],0
2005-2008,6,Sparse Gaussian Processes using Pseudo-inputs,Understanding Probabilistic Sparse Gaussian Process Approximations,0.136,0.136,2857,"[u'traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2005-2008,7,Accelerated Variational Dirichlet Process Mixtures,Analysis of Brain States from Multi-Region LFP Time-Series,1.417,1.417,3025,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2011-2014,8,New Rules for Domain Independent Lifted MAP Inference,Fast Lifted MAP Inference via Partitioning,17.416,17.416,5498,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,9,New Rules for Domain Independent Lifted MAP Inference,Fast Lifted MAP Inference via Partitioning,9.579,9.579,5498,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
1993-1996,10,Active Learning with Statistical Models,Probabilistic Modeling for Face Orientation Discrimination: Learning from Labeled and Unlabeled Data,26.151,26.151,1011,"[u'style', u'content', u'data', u'model', u'new', u'models', u'diagnosis', u'training', u'using', u'mixture']",[2],8
2008-2011,11,How Do Humans Teach: On Curriculum Learning and Teaching Dimension,Optimal Teaching for Limited-Capacity Human Learners,18.492,18.492,4466,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,12,How Do Humans Teach: On Curriculum Learning and Teaching Dimension,Optimal Teaching for Limited-Capacity Human Learners,0.182,0.182,4466,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,13,Learning Networks of Heterogeneous Influence,Learning Influence Functions from Incomplete Observations,3.267,3.267,4582,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1999-2002,0,Direct value-approximation for factored MDPs,Value-Directed Compression of POMDPs,0.083,0.083,1981,"[u'linear', u'value', u'state', u'policy', u'function', u'factored', u'approximate', u'optimal', u'constraints', u'approximation']",[3],0
1999-2002,0,Direct value-approximation for factored MDPs,Linear Program Approximations for Factored Continuous-State Markov Decision Processes,7.286,7.286,1981,"[u'linear', u'value', u'state', u'policy', u'function', u'factored', u'approximate', u'optimal', u'constraints', u'approximation']",[3],0
1999-2002,1,Automatic Alignment of Local Representations,Adaptive Manifold Learning,0.723,0.723,2180,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,2,Automatic Alignment of Local Representations,Adaptive Manifold Learning,0.342,0.342,2180,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2005-2008,3,Neural characterization in partially observed populations of spiking neurons,Sequence learning with hidden units in spiking neural networks,1.492,1.492,3256,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Neural characterization in partially observed populations of spiking neurons,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,0.251,0.251,3256,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Neural characterization in partially observed populations of spiking neurons,On the relations of LFPs & Neural Spike Trains,0.12,0.12,3256,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1999-2002,4,A kernel method for multi-labelled classification,Reverse Multi-Label Learning,3.621,3.621,1964,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,4,A kernel method for multi-labelled classification,Transduction with Matrix Completion: Three Birds with One Stone,0.365,0.365,1964,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,4,A kernel method for multi-labelled classification,Sparse Bayesian Multi-Task Learning,1.337,1.337,1964,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,4,A kernel method for multi-labelled classification,Feature-aware Label Space Dimension Reduction for Multi-label Classification,0.472,0.472,1964,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,5,Semi-supervised MarginBoost,Regularized Boost for Semi-Supervised Learning,0.144,0.144,2108,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Network Flow Algorithms for Structured Sparsity,0.582,0.582,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Efficient Minimization of Decomposable Submodular Functions,0.098,0.098,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Prismatic Algorithm for Discrete D.C. Programming Problem,0.378,0.378,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Shaping Level Sets with Submodular Functions,0.301,0.301,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation,0.48,0.48,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Learning as MAP Inference in Discrete Graphical Models,0.051,0.051,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,On the Convergence Rate of Decomposable Submodular Function Minimization,1.543,1.543,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1.609,1.609,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Partition-wise Linear Models,0.051,0.051,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,LASSO with Non-linear Measurements is Equivalent to One With Linear Measurements,0.51,0.51,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Maximization of Approximately Submodular Functions,1.409,1.409,3933,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
1996-1999,7,Exploiting Generative Models in Discriminative Classifiers,Speech Recognition using SVMs,1.097,1.097,1520,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
2005-2008,8,Continuously-adaptive discretization for message-passing algorithms,Particle-based Variational Inference for Continuous Systems,0.135,0.135,3590,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,9,Continuously-adaptive discretization for message-passing algorithms,Particle-based Variational Inference for Continuous Systems,0.108,0.108,3590,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Variational Inference over Combinatorial Spaces,Bayesian Pedigree Analysis using Measure Factorization,0.274,0.274,4036,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,11,Variational Gaussian Process Dynamical Systems,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1.184,1.184,4330,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,12,Variational Gaussian Process Dynamical Systems,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,0.739,0.739,4330,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2008-2011,13,Gaussian sampling by local perturbations,Training sparse natural image models with a fast Gibbs sampler of an extended state space,0.142,0.142,3940,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,13,Gaussian sampling by local perturbations,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations,0.081,0.081,3940,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,13,Gaussian sampling by local perturbations,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,2.052,2.052,3940,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,0,Manifold Parzen Windows,Submanifold density estimation,0.428,0.428,2203,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,0,Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,0.746,0.746,2203,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,1,Manifold Parzen Windows,Submanifold density estimation,1.211,1.211,2203,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2002-2005,1,Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,0.143,0.143,2203,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
1999-2002,2,Reducing multiclass to binary by coupling probability estimates,A Generalized Bradley-Terry Model: From Group Competition to Individual Skill,0.227,0.227,2122,"[u'estimates', u'probability', u'method', u'matrix', u'tibshirani', u'hastie', u'class', u'code', u'loss', u'based']",[8],8
2002-2005,3,Perspectives on Sparse Bayesian Learning,Using Bayesian Dynamical Systems for Motion Template Libraries,14.037,14.037,2393,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,A Model for Learning the Semantics of Pictures,Who's In the Picture,0.686,0.686,2474,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2014-2017,5,Skip-Thought Vectors,Multimodal Residual Learning for Visual QA,1.917,1.917,5950,"[u'sentence', u'skip', u'model', u'vectors', u'sentences', u'encoder', u'representations', u'results', u'image', u'word']",[9],5
2008-2011,6,Spatial Normalized Gamma Processes,Construction of Dependent Dirichlet Processes based on Poisson Processes,27.827,27.827,3630,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,6,Spatial Normalized Gamma Processes,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,49.731,49.731,3630,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2005-2008,7,Efficient multiple hyperparameter learning for log-linear models,<var>\theta</var>,8.813,8.813,3286,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1993-1996,8,Exponentially many local minima for single neurons,Worst-case Loss Bounds for Single Neurons,4.518,4.518,1028,"[u'weights', u'training', u'method', u'monte', u'carlo', u'prior', u'network', u'hidden', u'weight', u'given']",[3],3
1993-1996,8,Exponentially many local minima for single neurons,On the Computational Efficiency of Training Neural Networks,29.464,29.464,1028,"[u'weights', u'training', u'method', u'monte', u'carlo', u'prior', u'network', u'hidden', u'weight', u'given']",[3],3
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1.738,1.738,3584,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
